"","logFC","logCPM","F","PValue","FDR"
"HERC4",-0.588458625444206,5.23213392181243,11.8196148772058,0.00126586826683154,0.0255532261966744
"HBA1",-2.97090099568307,7.14092787850009,11.8186288175307,0.00126639907045906,0.0255532261966744
"CDKN3",0.867741713575532,3.78213130777886,11.8160920453621,0.00126776571220915,0.0255532261966744
"ZNF799",-0.963363226747643,1.60335265885701,11.8137856895736,0.00126900956913112,0.0255532261966744
"LINC01550",-1.35160661332633,1.34948552359029,11.813542298351,0.00126914090911039,0.0255532261966744
"NDUFV2",0.928107393334922,4.62118388532424,11.8103336637159,0.00127087370740553,0.0255532261966744
"RBX1",0.667617744603709,5.21918300817134,11.8101621173473,0.0012709664198296,0.0255532261966744
"PDE4D",0.94462230180432,5.74815996549238,11.8077597003079,0.00127226555739189,0.0255579762682084
"PPP1R18",0.598420777452647,6.93561394048197,11.8046726133622,0.00127393699234919,0.0255701910834963
"ZNF831",-0.893557177813223,4.65454093804771,11.7997583959385,0.00127660245896929,0.0255986073050829
"ZNF449",-0.720801722632696,1.89597768756766,11.7965302587713,0.00127835659313801,0.0255986073050829
"TYMP",1.03106329379895,7.80792278479984,11.7949266359536,0.00127922892762602,0.0255986073050829
"HSD17B11",-1.01455877770799,5.12008598047318,11.7942246399915,0.00127961099478956,0.0255986073050829
"LOC101927066",-1.79606052744851,0.81289446215637,11.7903231503563,0.00128173660419587,0.0256198157809591
"APEH",-0.513314543478341,4.60628742402819,11.7833292220664,0.0012855563491561,0.0256719094039338
"ZNF510",-0.596460902787012,3.54732664068218,11.7799967760799,0.00128738058500204,0.0256719094039338
"PITPNC1",-0.63291244715627,4.51484503219865,11.7796954837575,0.00128754565171522,0.0256719094039338
"PRKCQ_AS1",-0.963155103977132,3.58576607732008,11.7755977371306,0.00128979286717403,0.0256954095145541
"NDRG1",0.906876614881804,5.72405178314357,11.7721615934302,0.00129168044189835,0.0257117118426222
"FPGT",-0.971138682729454,2.08938985813912,11.7656581114251,0.00129526096416174,0.0257497986725244
"ZNF180",-0.701813442313268,2.74413058181858,11.7633106383788,0.00129655594255512,0.0257497986725244
"EXOSC4",0.97760787338636,2.17457839264308,11.7622050923038,0.00129716628687056,0.0257497986725244
"SAMSN1",1.14704929717986,5.00361406516529,11.7609180083576,0.00129787723492887,0.0257497986725244
