"","logFC","logCPM","F","PValue","FDR"
"NOTCH2NL",0.171489819104734,5.63010551531778,0.399684793356857,0.532119964542598,0.677563285071625
"KCNJ1",0.521913857644114,1.74927228282868,0.399506519334118,0.532210830224491,0.677630310053105
"CRAT",-0.306149703925673,3.97090210599501,0.39928406603992,0.532324253963417,0.677726045087663
"LSM4",-0.192000385662917,3.90226202290089,0.399106185833339,0.532414982924035,0.677792874699184
"B4GALT1",0.209206819686349,5.97661650131899,0.398710895306235,0.532616705339952,0.67798381592605
"RFXANK",-0.159257850855466,4.12132875403763,0.398662394513673,0.532641465676755,0.67798381592605
"PCBP2",-0.245097321890751,8.718192147946,0.398473996786966,0.532737665469418,0.678035130647465
"HACD2",0.152487952956629,2.34305119908608,0.398394066090104,0.532778489407875,0.678035130647465
"ROMO1",-0.241649932575495,2.64219686503349,0.398358742480586,0.532796532482712,0.678035130647465
"KCTD5",-0.149912607658044,3.78002179101209,0.398110382925886,0.53292342473428,0.678147927267757
"LY6G6E",-0.356442695730896,1.00148940198081,0.397800563711601,0.533081796092028,0.678300762151123
"SLC50A1",-0.137881848206847,3.2956120994512,0.397540082300108,0.53321501437799,0.67835486830738
"CCNB1IP1",0.183540153904821,2.5289380048579,0.397508986886244,0.533230921637131,0.67835486830738
"GATS",-0.181177967968166,3.69210722384374,0.397492951091842,0.533239125295895,0.67835486830738
"TSC22D1",0.267644198848771,5.65110236382633,0.397177698597903,0.533400450733255,0.678511402202919
"DNAJB11",-0.178328556618489,4.23035296303426,0.396972119512916,0.533505701022233,0.678596588427103
"RNF168",-0.122229856097683,5.35142954627129,0.396706234760863,0.533641882792878,0.678721103134574
"ZHX2",0.136673585184656,4.65610241551995,0.396420093374021,0.533788511313434,0.678858885890511
"TUFM",0.155985208713126,5.16661597416823,0.396242005131294,0.533879807276659,0.678886490586861
"RCN3",-0.265304274396535,3.71503283244535,0.396228338131725,0.533886814779468,0.678886490586861
"BUB3",0.161235594212036,5.04827657456987,0.396133235462782,0.533935581624534,0.678898419535713
"SNORD2",0.358770169640336,1.3892539023782,0.396011617372921,0.533997957052688,0.678898419535713
"ALG10B",-0.179077488626505,2.72243465956422,0.39598600536781,0.534011094639876,0.678898419535713
"SMUG1",-0.17114540580466,2.69828273413099,0.395744659379302,0.534134921510852,0.679000069639522
"SMIM12",0.177926706372887,4.45175321127178,0.395680864070838,0.53416766169035,0.679000069639522
"BCL2L13",0.249190887342252,5.59669701442596,0.395574298280806,0.534222360231374,0.679020906171041
"SERPINB6",0.137133597781983,4.47160179192802,0.395427904207388,0.534297518865966,0.679067743559053
"PCSK6",0.254765123047715,3.57333683799585,0.395142087509127,0.534444313287005,0.679205613516307
"TMEM56",-0.286927373073669,4.3912745314923,0.395017191231392,0.534508482952469,0.679230540724932
"POFUT1",-0.143388623536744,3.82628654247845,0.394954760224457,0.534540564318673,0.679230540724932
"CEBPZ",0.150495398522207,4.77602300719787,0.39459370197996,0.534726170803529,0.67941768358278
"ZNF624",0.215656300666685,2.690020988417,0.394166670012234,0.534945845697662,0.679648083488873
"TCP1",0.304890404984285,5.5263627804812,0.394048251602275,0.535006792353485,0.679676800778175
"PXN_AS1",-0.265771189534838,0.637067422536046,0.393937100408389,0.535064010458579,0.67970077751102
"CXorf40A",-0.248713755516067,2.66152823035322,0.393793558215665,0.535137919458812,0.67974595201196
"SWT1",0.358794805691452,8.02304058064735,0.393630322574524,0.535221991445082,0.679804028400367
"SCARNA21",0.355120566748938,7.65851777375799,0.393083808467546,0.535503643007885,0.68011303116413
"ENGASE",-0.264783941257483,4.79516924325798,0.392941534023854,0.535577010581336,0.680144000101923
"MYRIP",-0.316453648768244,1.78149339388284,0.39288771843016,0.535604766863519,0.680144000101923
"MOAP1",-0.171963363707555,4.2347568693859,0.392789429516092,0.535655467869995,0.680159657841227
"NDUFC2",0.185916870052334,2.74873916354349,0.39248892107286,0.535810536217405,0.68030782644436
"RNF215",0.541396415406799,2.11887386194921,0.392253044619406,0.53593231141943,0.680413705215643
"SVBP",0.343708739575627,3.74996491376616,0.391739268864886,0.536197734376327,0.680634940698648
